SiteEnergyUse(kBtu),TotalGHGEmissions
7946961.0,228.4
4426136.0,30.86
61762380.0,1268.87
1074350.375,7.49
42792072.0,1727.11
2177064.75,78.19
150167.7969,1.6
2890379.0,49.62
2399353.5,81.96
2615973.5,124.59
1987334.75,66.43
4420650.5,134.8
1981115.25,19.12
557863.6875,3.89
3612526.75,38.39
2794837.0,120.72
11651200.0,318.08
16808.90039,0.12
1998725.25,44.28
786324.0,19.61
58761304.0,1246.55
3212269.0,22.39
1519952.125,50.76
53466684.0,748.55
6689184.0,202.65
1275231.75,49.73
16319835.0,222.02
63835192.0,445.62
965425.1875,29.39
1725336.25,69.77
2171751.5,93.55
5903015.0,192.12
