LargestPropertyUseType,Neighborhood,PrimaryPropertyType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,PropertyGFATotal,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,YearBuilt,SiteEnergyUse(kBtu),TotalGHGEmissions
K-12 School,SOUTHEAST,K-12 School,None,None,60725.0,58933,0.0,0.0,,47.57324,-122.29058,1.0,2,58933,0,1991,0.0,16.36
K-12 School,GREATER DUWAMISH,K-12 School,None,None,134446.0,130862,0.0,0.0,61.0,47.56413,-122.31208,1.0,1,130862,0,1957,6456026.0,238.48
K-12 School,SOUTHEAST,K-12 School,None,None,59955.0,59955,0.0,0.0,93.0,47.55478,-122.27596,1.0,3,59955,0,1989,1633399.375,20.48
K-12 School,MAGNOLIA / QUEEN ANNE,K-12 School,None,None,93218.0,93218,0.0,0.0,86.0,47.63683,-122.35896,1.0,2,93218,0,1964,2887392.0,84.75
Other,NORTHEAST,Other,None,None,49000.0,56521,0.0,0.0,,47.67524,-122.31534,1.0,4,56521,0,1941,6357632.0,44.32
Other,NORTHEAST,Other,Parking,None,119146.0,206934,0.0,0.0,,47.67559,-122.31769,1.0,2,206934,0,1929,4253577.5,133.58
Hotel,NORTHWEST,Hotel,Parking,None,51390.0,51390,0.0,0.0,89.0,47.73141,-122.3458,1.0,4,51390,0,2001,3611538.0,127.29
K-12 School,NORTHWEST,K-12 School,None,None,131909.0,131013,0.0,0.0,88.0,47.72463,-122.35315,1.0,2,131013,0,1963,3894584.5,124.92
K-12 School,NORTHWEST,K-12 School,None,None,245587.0,245587,0.0,0.0,92.0,47.7257,-122.33684,1.0,1,245587,0,1959,11765682.0,443.73
Hotel,NORTHWEST,Hotel,None,None,70609.0,69138,0.0,0.0,78.0,47.72551,-122.3423,1.0,3,69138,0,2002,3242458.0,89.02
K-12 School,LAKE UNION,K-12 School,None,None,66588.0,66588,0.0,0.0,,47.65464,-122.34912,1.0,3,66588,0,1991,0.0,14.67
Hotel,DOWNTOWN,Hotel,Parking,None,190980.0,190980,19051.0,0.0,98.0,47.6048,-122.3368,1.0,5,190980,0,1904,6505995.0,142.39
Other - Entertainment/Public Assembly,DOWNTOWN,Other,None,None,189750.0,284100,0.0,0.0,,47.60804,-122.3367,1.0,6,284100,0,1998,14641502.0,429.12
Hospital (General Medical & Surgical),BALLARD,Hospital,Parking,None,302661.0,285333,148865.0,0.0,14.0,47.66737,-122.37956,4.0,5,285333,0,1954,68090728.0,1990.5
K-12 School,BALLARD,K-12 School,None,None,59097.0,55513,0.0,0.0,93.0,47.6706,-122.36225,1.0,2,55513,0,1991,1513570.75,10.55
Other,DOWNTOWN,Other,Office,None,42755.0,61156,29219.0,0.0,,47.60112,-122.32785,1.0,4,61156,0,2006,9363374.0,176.75
Museum,DOWNTOWN,Other,None,None,58000.0,72820,0.0,0.0,,47.59809,-122.32283,1.0,4,59000,13820,1910,2010454.625,46.26
Hotel,MAGNOLIA / QUEEN ANNE,Hotel,Parking,None,113702.0,162222,32692.0,0.0,76.0,47.62614,-122.3467,1.0,4,148022,14200,1996,7946961.0,228.4
K-12 School,SOUTHEAST,K-12 School,None,None,289588.0,289588,0.0,0.0,90.0,47.57589,-122.29365,1.0,4,289588,0,1990,8819852.0,170.84
College/University,EAST,University,None,None,64820.0,63330,0.0,0.0,,47.61495,-122.32177,1.0,3,63330,0,1915,3059758.0,74.33
College/University,DELRIDGE,University,None,None,483000.0,441071,0.0,0.0,,47.547,-122.35307,27.0,2,441071,0,1970,38301744.0,866.23
Office,NORTHEAST,Small and Mid-Sized Office,Data Center,None,92300.0,96300,4944.0,0.0,,47.67828,-122.26456,1.0,2,96300,0,2002,16319835.0,222.02
"Repair Services (Vehicle, Shoe, Locksmith, etc)",GREATER DUWAMISH,Other,None,None,68359.0,67356,0.0,0.0,,47.59545,-122.32146,1.0,1,67356,0,1950,7475577.5,204.08
K-12 School,CENTRAL,K-12 School,None,None,254523.0,254523,0.0,0.0,60.0,47.60598,-122.30156,1.0,3,254523,0,2008,13567774.0,359.09
K-12 School,SOUTHEAST,K-12 School,None,None,78804.0,78804,0.0,0.0,92.0,47.51482,-122.25864,1.0,3,78804,0,2001,2499140.0,56.82
K-12 School,CENTRAL,K-12 School,None,None,66994.0,66994,0.0,0.0,79.0,47.61224,-122.29087,1.0,3,66994,0,2002,2371304.5,41.74
K-12 School,GREATER DUWAMISH,K-12 School,None,None,98357.0,98357,0.0,0.0,88.0,47.52915,-122.28904,1.0,3,98357,0,2000,3456131.5,94.64
