LargestPropertyUseType,Neighborhood,PrimaryPropertyType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,PropertyGFATotal,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,YearBuilt,SiteEnergyUse(kBtu),TotalGHGEmissions
K-12 School,NORTHEAST,K-12 School,None,None,23190.0,23190,0.0,0.0,79.0,47.67485,-122.29284,1.0,1,23190,0,1986,1705515.25,68.14
Office,NORTHWEST,Small and Mid-Sized Office,None,None,23100.0,20678,0.0,0.0,98.0,47.68602,-122.35674,1.0,1,20678,0,1960,770333.0,32.63
K-12 School,NORTHWEST,K-12 School,None,None,33780.0,28820,0.0,0.0,43.0,47.68642,-122.35707,1.0,3,28820,0,1922,2595783.5,106.45
Worship Facility,SOUTHEAST,Worship Facility,None,None,44816.0,27876,0.0,0.0,69.0,47.51042,-122.26277,1.0,2,27876,0,1954,1829981.375,68.97
K-12 School,MAGNOLIA / QUEEN ANNE,K-12 School,None,None,48789.0,48789,0.0,0.0,94.0,47.63796,-122.34897,1.0,1,48789,0,1925,1298307.625,29.41
K-12 School,SOUTHEAST,K-12 School,None,None,33105.0,33105,0.0,0.0,79.0,47.55818,-122.28712,1.0,1,33105,0,1925,1725336.25,69.77
Senior Care Community,SOUTHEAST,Senior Care Community,Parking,None,41922.0,48882,9079.0,0.0,51.0,47.55387,-122.27875,1.0,2,41649,7233,1966,6782435.0,235.26
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,22320.0,22320,0.0,0.0,62.0,47.55374,-122.32498,1.0,1,22320,0,1977,439065.9063,3.06
Manufacturing/Industrial Plant,GREATER DUWAMISH,Other,None,None,45320.0,47105,0.0,0.0,,47.55297,-122.32472,1.0,1,47105,0,1976,10234721.0,348.22
Office,GREATER DUWAMISH,Small and Mid-Sized Office,Non-Refrigerated Warehouse,None,31800.0,40029,8200.0,0.0,69.0,47.55316,-122.32616,1.0,2,40029,0,1982,1471914.25,10.26
Office,GREATER DUWAMISH,Small and Mid-Sized Office,None,None,27185.0,28304,0.0,0.0,67.0,47.55196,-122.32518,1.0,2,28304,0,1970,1269367.5,8.85
Other - Recreation,GREATER DUWAMISH,Other,Non-Refrigerated Warehouse,None,20560.0,26400,7200.0,0.0,,47.55168,-122.32459,1.0,1,26400,0,1970,452612.5,3.16
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Office,None,25000.0,27680,2680.0,0.0,,47.55049,-122.32382,1.0,1,27680,0,1968,1778431.75,64.81
Office,GREATER DUWAMISH,Small and Mid-Sized Office,Non-Refrigerated Warehouse,None,23272.0,25872,2600.0,0.0,,47.55145,-122.32635,1.0,2,25872,0,1969,1787119.0,45.79
Office,GREATER DUWAMISH,Small and Mid-Sized Office,None,None,24988.0,25872,0.0,0.0,41.0,47.55127,-122.32576,1.0,2,25872,0,1969,2399353.5,81.96
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,21386.0,20500,0.0,0.0,65.0,47.55127,-122.32576,1.0,1,20500,0,1969,222600.0938,1.55
Office,LAKE UNION,Small and Mid-Sized Office,None,None,21436.0,21436,0.0,0.0,95.0,47.6557,-122.34682,1.0,2,21436,0,1958,534703.6875,3.73
Office,NORTHEAST,Mixed Use Property,Non-Refrigerated Warehouse,Other,7245.0,20233,6644.0,6344.0,,47.65205,-122.3218,1.0,1,20233,0,1998,630250.125,18.16
Office,LAKE UNION,Small and Mid-Sized Office,Parking,None,26295.0,31417,12890.0,0.0,94.0,47.64904,-122.34609,1.0,3,23307,8110,1985,1126157.25,28.09
Self-Storage Facility,DOWNTOWN,Self-Storage Facility,None,None,46580.0,46580,0.0,0.0,,47.61179,-122.3404,1.0,6,46580,0,1928,710275.375,4.95
Retail Store,DOWNTOWN,Retail Store,None,None,25920.0,25920,0.0,0.0,5.0,47.61165,-122.34011,1.0,2,25920,0,1916,478690.0938,3.34
Retail Store,DOWNTOWN,Retail Store,None,None,38880.0,25920,0.0,0.0,93.0,47.61236,-122.34144,1.0,2,25920,0,1919,1011667.5,13.71
Hotel,DOWNTOWN,Hotel,None,None,61721.0,61721,0.0,0.0,93.0,47.61203,-122.34165,1.0,8,61721,0,1910,2897079.75,36.92
Office,DOWNTOWN,Small and Mid-Sized Office,None,None,23995.0,25920,0.0,0.0,75.0,47.61297,-122.34324,1.0,2,25920,0,1919,1793851.375,46.48
Office,EAST,Small and Mid-Sized Office,None,None,39760.0,39760,0.0,0.0,92.0,47.61098,-122.32766,1.0,4,39760,0,1925,2478960.0,149.91
Other,EAST,Other,None,None,30971.0,30971,0.0,0.0,,47.61109,-122.32721,1.0,3,30971,0,1920,2823184.0,94.85
Office,EAST,Small and Mid-Sized Office,None,None,22667.0,22667,0.0,0.0,1.0,47.61063,-122.32741,1.0,3,22667,0,1946,3767135.0,148.55
Non-Refrigerated Warehouse,LAKE UNION,Warehouse,Office,Retail Store,18740.0,33840,13660.0,1440.0,,47.64965,-122.34913,1.0,2,33840,0,1927,2227638.25,60.88
Office,LAKE UNION,Small and Mid-Sized Office,Retail Store,Parking,15908.0,33740,8762.0,1500.0,79.0,47.65114,-122.34954,1.0,5,27730,6010,2001,1291405.25,9.0
Retail Store,LAKE UNION,Retail Store,Hotel,None,10155.0,20516,8000.0,0.0,98.0,47.65115,-122.35024,1.0,2,20516,0,1911,1021796.625,42.04
Retail Store,LAKE UNION,Retail Store,Office,None,22218.0,27480,8668.0,0.0,88.0,47.65019,-122.35013,1.0,3,27480,0,1906,1215156.25,8.47
Office,LAKE UNION,Mixed Use Property,Parking,Bar/Nightclub,40313.0,46958,33976.0,4579.0,95.0,47.65061,-122.35159,1.0,1,46958,0,1947,1818867.875,30.32
Distribution Center,LAKE UNION,Distribution Center,None,None,26532.0,26532,0.0,0.0,5.0,47.65214,-122.356,1.0,1,26532,0,1984,1934224.25,66.53
Other,LAKE UNION,Other,None,None,30730.0,30730,0.0,0.0,,47.65138,-122.35565,1.0,1,30730,0,1969,3050455.25,73.52
Office,LAKE UNION,Small and Mid-Sized Office,Parking,None,36839.0,35600,0.0,0.0,47.0,47.65297,-122.35839,1.0,2,35600,0,1986,2173143.75,18.34
Worship Facility,MAGNOLIA / QUEEN ANNE,Worship Facility,Other,None,57200.0,62000,5000.0,0.0,81.0,47.64905,-122.36055,1.0,3,62000,0,1949,1799664.125,82.34
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,23600.0,23600,0.0,0.0,82.0,47.64805,-122.35534,1.0,2,23600,0,1981,776248.6875,5.41
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,40067.0,40067,0.0,0.0,43.0,47.64976,-122.35684,1.0,3,40067,0,1986,2303732.75,16.06
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,26419.0,26419,0.0,0.0,67.0,47.64976,-122.35684,1.0,3,19497,6922,1989,1074989.0,7.49
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,25262.0,25262,0.0,0.0,54.0,47.64976,-122.35684,1.0,3,25262,0,1979,1469556.25,23.85
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,32739.0,34106,0.0,0.0,57.0,47.64901,-122.35516,1.0,3,34106,0,1980,1619177.125,11.29
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,34545.0,34545,0.0,0.0,29.0,47.64934,-122.35592,1.0,3,34545,0,1980,2313978.75,16.13
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,70296.0,70296,0.0,0.0,86.0,47.64865,-122.35435,1.0,3,70296,0,1980,2782066.5,19.39
Office,DOWNTOWN,Small and Mid-Sized Office,None,None,27838.0,27838,0.0,0.0,77.0,47.59979,-122.33339,1.0,4,27838,0,1902,1217509.125,8.49
Distribution Center,DELRIDGE,Distribution Center,Office,None,35300.0,28368,9408.0,0.0,,47.55105,-122.34695,2.0,2,28368,0,1971,1856230.625,30.02
Other,NORTHWEST,Other,None,None,92129.0,92080,0.0,0.0,,47.72471,-122.3412,1.0,2,92080,0,1964,5155090.5,127.1
Other - Recreation,NORTHWEST,Other,None,None,20236.0,20236,0.0,0.0,,47.72288,-122.34065,1.0,1,20236,0,1961,1965182.25,49.58
Office,NORTHWEST,Small and Mid-Sized Office,Non-Refrigerated Warehouse,None,27118.0,39815,12697.0,0.0,62.0,47.72004,-122.34418,1.0,2,39815,0,1951,2050600.75,40.22
Residential Care Facility,NORTHWEST,Other,None,None,25557.0,25557,0.0,0.0,,47.72299,-122.34293,1.0,4,25557,0,1970,2280352.5,15.9
Other - Services,NORTHWEST,Other,Office,None,16243.0,26994,10751.0,0.0,,47.72134,-122.34102,1.0,2,26994,0,1958,3076813.25,122.73
Non-Refrigerated Warehouse,NORTHWEST,Warehouse,None,None,48112.0,48112,0.0,0.0,73.0,47.72183,-122.34328,1.0,1,48112,0,1972,1485945.875,10.36
Other - Public Services,NORTHWEST,Other,Parking,None,19050.0,20909,0.0,0.0,,47.72065,-122.34318,1.0,1,20909,0,2009,1208029.25,32.86
Office,NORTHWEST,Small and Mid-Sized Office,Parking,None,26275.0,42793,16518.0,0.0,27.0,47.73387,-122.34722,1.0,2,26275,16518,2001,1772188.5,12.35
Other - Recreation,NORTHWEST,Other,None,None,45000.0,45000,0.0,0.0,,47.72644,-122.34338,1.0,2,45000,0,2007,5912066.0,176.79
Retail Store,NORTHWEST,Retail Store,None,None,26115.0,26115,0.0,0.0,43.0,47.72337,-122.34373,1.0,1,26115,0,1998,1689372.625,36.74
Worship Facility,NORTHEAST,Worship Facility,Parking,None,30044.0,26033,0.0,0.0,78.0,47.6702,-122.32066,1.0,1,26033,0,1949,1149140.25,45.33
K-12 School,MAGNOLIA / QUEEN ANNE,K-12 School,None,None,49468.0,48660,0.0,0.0,82.0,47.64344,-122.3509,1.0,4,48660,0,2007,1881516.125,61.98
Senior Care Community,MAGNOLIA / QUEEN ANNE,Senior Care Community,None,None,46539.0,46539,0.0,0.0,73.0,47.6441,-122.34795,1.0,2,46539,0,1970,5400049.5,180.38
Residence Hall/Dormitory,DOWNTOWN,Residence Hall,None,None,29796.0,29796,0.0,0.0,47.0,47.61283,-122.34392,1.0,4,29796,0,1909,2233262.0,79.58
Retail Store,DOWNTOWN,Retail Store,Office,Parking,14428.0,26400,7200.0,2788.0,36.0,47.6123,-122.34395,1.0,2,26400,0,1920,983595.875,17.12
Office,DOWNTOWN,Small and Mid-Sized Office,Retail Store,None,37853.0,38148,12495.0,0.0,98.0,47.61185,-122.3434,1.0,3,38148,0,1918,1262255.75,8.8
Non-Refrigerated Warehouse,LAKE UNION,Mixed Use Property,Office,None,14400.0,28800,14400.0,0.0,,47.62231,-122.34145,1.0,2,28800,0,1928,456953.0,12.77
Worship Facility,MAGNOLIA / QUEEN ANNE,Worship Facility,Parking,None,31945.0,31945,0.0,0.0,4.0,47.62232,-122.36101,1.0,5,31945,0,1955,1806468.0,12.59
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,Parking,None,52908.0,85963,33055.0,0.0,43.0,47.6189,-122.35713,1.0,5,52908,33055,1985,4480961.0,31.24
Retail Store,DOWNTOWN,Retail Store,None,None,34680.0,34680,0.0,0.0,92.0,47.60683,-122.33771,1.0,4,34680,0,1900,1169948.875,26.38
Worship Facility,DOWNTOWN,Worship Facility,None,None,75058.0,75058,0.0,0.0,24.0,47.60867,-122.33265,1.0,3,40548,34510,1968,5587347.0,247.97
Office,DOWNTOWN,Small and Mid-Sized Office,None,None,25000.0,57720,0.0,0.0,,47.61119,-122.33581,1.0,3,57720,0,1903,24105.5,0.17
Retail Store,DOWNTOWN,Retail Store,None,None,16200.0,36504,0.0,0.0,2.0,47.61103,-122.33549,1.0,1,36504,0,1915,2100982.75,20.76
Office,DOWNTOWN,Small and Mid-Sized Office,None,None,35200.0,35200,0.0,0.0,8.0,47.61091,-122.33667,1.0,6,35200,0,1907,2998208.25,20.9
Office,DOWNTOWN,Small and Mid-Sized Office,None,None,35840.0,35840,0.0,0.0,83.0,47.60961,-122.33566,1.0,5,35840,0,1907,1538750.625,48.35
Bank Branch,DOWNTOWN,Other,None,None,23230.0,25920,0.0,0.0,60.0,47.60985,-122.33527,1.0,2,25920,0,1941,1333432.125,9.3
Office,DOWNTOWN,Small and Mid-Sized Office,Retail Store,None,15609.0,30525,6104.0,0.0,17.0,47.60952,-122.33558,1.0,4,30525,0,1928,2883139.0,73.61
Other/Specialty Hospital,EAST,Other,None,None,52284.0,49243,0.0,0.0,,47.61186,-122.32857,1.0,4,49243,0,1964,8476183.0,101.34
Medical Office,EAST,Medical Office,None,None,21571.0,30855,0.0,0.0,2.0,47.61065,-122.32125,1.0,2,20570,10285,1962,2946756.25,85.55
Office,EAST,Small and Mid-Sized Office,Worship Facility,None,41632.0,73549,31917.0,0.0,90.0,47.61194,-122.32177,1.0,3,73549,0,1910,2828950.5,107.45
Other - Education,EAST,Other,Parking,None,45780.0,45780,4500.0,0.0,,47.60865694,-122.3205368,1.0,5,34380,11400,1988,10834087.0,462.4
Other - Entertainment/Public Assembly,EAST,Other,Office,Food Service,35886.0,38038,1184.0,436.0,,47.60901,-122.32994,1.0,3,38038,0,1916,1107290.625,55.61
Worship Facility,EAST,Worship Facility,Parking,None,53000.0,37796,17600.0,0.0,55.0,47.60821,-122.3296,1.0,3,37796,0,1962,2465983.5,123.41
Office,BALLARD,Small and Mid-Sized Office,Other,Data Center,18380.0,27744,6060.0,3304.0,,47.66256,-122.36483,1.0,1,27744,0,1993,5355753.0,37.34
Non-Refrigerated Warehouse,BALLARD,Warehouse,None,None,36444.0,36444,0.0,0.0,80.0,47.66388,-122.36831,1.0,1,36444,0,1960,161311.0938,1.12
Non-Refrigerated Warehouse,BALLARD,Warehouse,None,None,27553.0,27553,0.0,0.0,63.0,47.65907,-122.36783,1.0,1,27553,0,1950,966677.125,31.61
Distribution Center,BALLARD,Distribution Center,None,None,57310.0,57310,0.0,0.0,,47.6583,-122.36638,3.0,1,57310,0,1951,1253745.5,34.87
Office,LAKE UNION,Mixed Use Property,Other - Services,Restaurant,10109.0,25920,7016.0,3609.0,,47.62296,-122.33884,1.0,2,25920,0,1920,989079.5,16.57
Restaurant,LAKE UNION,Restaurant,None,None,40686.0,40686,0.0,0.0,,47.62354,-122.33808,1.0,3,40686,0,1919,2106073.5,73.0
Retail Store,LAKE UNION,Retail Store,None,None,45271.0,45271,0.0,0.0,57.0,47.62399,-122.33804,1.0,2,45271,0,1964,2553763.5,82.72
Office,LAKE UNION,Small and Mid-Sized Office,None,None,28380.0,28380,0.0,0.0,62.0,47.62437,-122.33802,1.0,3,16200,12180,1920,1372213.375,35.77
Office,LAKE UNION,Large Office,Parking,Food Service,329850.0,508160,162894.0,11846.0,77.0,47.62296,-122.3362,1.0,5,508160,0,2009,28053172.0,487.53
Office,LAKE UNION,Small and Mid-Sized Office,None,None,23730.0,26176,0.0,0.0,95.0,47.62353,-122.33622,1.0,3,26176,0,1926,966907.375,32.09
Office,LAKE UNION,Small and Mid-Sized Office,Parking,None,37481.0,37740,0.0,0.0,1.0,47.62799,-122.33132,1.0,1,37740,0,1926,7442314.5,73.48
Other,MAGNOLIA / QUEEN ANNE,Other,None,None,49847.0,26000,0.0,0.0,,47.62208,-122.35398,1.0,1,26000,0,1961,5277482.5,184.09
Worship Facility,MAGNOLIA / QUEEN ANNE,Worship Facility,None,None,23241.0,23241,0.0,0.0,66.0,47.61876,-122.3534,1.0,3,23241,0,2009,739210.5,20.64
Other,MAGNOLIA / QUEEN ANNE,Other,None,None,155795.0,155795,0.0,0.0,,47.61974,-122.3511,1.0,1,155795,0,1962,17673018.0,255.83
Other,MAGNOLIA / QUEEN ANNE,Other,None,None,21018.0,21018,0.0,0.0,,47.62208,-122.35398,1.0,1,21018,0,2002,1761137.5,24.62
Museum,MAGNOLIA / QUEEN ANNE,Other,None,None,28631.0,30533,0.0,0.0,,47.62208,-122.35398,1.0,1,30533,0,1998,5903015.0,192.12
Other - Recreation,MAGNOLIA / QUEEN ANNE,Other,None,None,50000.0,33971,0.0,0.0,,47.62049,-122.3493,1.0,2,33971,0,1961,17686444.0,523.95
Other,MAGNOLIA / QUEEN ANNE,Other,None,None,33000.0,40600,0.0,0.0,,47.62082,-122.35251,1.0,2,40600,0,1992,2485521.0,41.06
Office,LAKE UNION,Small and Mid-Sized Office,Parking,None,38038.0,38038,19600.0,0.0,84.0,47.62055,-122.33881,1.0,4,38038,0,1999,2003807.75,13.97
Office,LAKE UNION,Small and Mid-Sized Office,Parking,None,41591.0,64596,21350.0,0.0,92.0,47.62028,-122.33717,1.0,4,40000,24596,2007,2524228.25,77.8
Office,LAKE UNION,Small and Mid-Sized Office,Laboratory,Parking,35404.0,41466,5000.0,1250.0,1.0,47.62038,-122.33759,1.0,3,35404,6062,1928,9190442.0,234.03
Office,LAKE UNION,Large Office,Parking,Bank Branch,120548.0,130710,88960.0,5436.0,92.0,47.62004,-122.33807,1.0,6,29910,100800,2013,7429423.0,86.51
Office,LAKE UNION,Small and Mid-Sized Office,Retail Store,Parking,22341.0,35780,8214.0,5225.0,77.0,47.62054,-122.33807,1.0,4,35780,0,1926,1912760.75,13.33
Office,MAGNOLIA / QUEEN ANNE,Mixed Use Property,Parking,Restaurant,8061.0,25132,8000.0,2095.0,41.0,47.6223,-122.35653,1.0,4,17824,7308,1964,564754.1875,3.94
Other,DOWNTOWN,Other,None,None,49680.0,49680,0.0,0.0,,47.60192,-122.33282,1.0,1,49680,0,1966,2844685.0,119.34
Other,DOWNTOWN,Other,None,None,36314.0,36314,0.0,0.0,,47.60219,-122.3313,1.0,1,36314,0,1962,1832808.75,44.33
Other - Entertainment/Public Assembly,DOWNTOWN,Other,Restaurant,Retail Store,11888.0,25920,4329.0,4029.0,,47.60849,-122.33924,1.0,2,25920,0,1916,1257774.625,8.77
Office,DOWNTOWN,Small and Mid-Sized Office,Retail Store,None,25500.0,47686,8500.0,0.0,72.0,47.60994,-122.33997,1.0,4,47686,0,1919,2071670.25,77.48
Other,DOWNTOWN,Other,None,None,24019.0,49760,0.0,0.0,,47.60711,-122.33886,1.0,3,49760,0,1900,44293.5,0.31
Retail Store,DOWNTOWN,Mixed Use Property,Restaurant,Social/Meeting Hall,15614.0,49280,9240.0,8199.0,,47.60805,-122.33978,1.0,2,49280,0,1900,5437110.5,98.28
Restaurant,DOWNTOWN,Restaurant,Food Sales,Office,17114.0,25380,6426.0,1840.0,,47.60895,-122.34052,1.0,2,25380,0,1912,6901554.0,218.79
Office,DOWNTOWN,Small and Mid-Sized Office,Retail Store,Non-Refrigerated Warehouse,20895.0,40715,16260.0,3560.0,,47.60836,-122.34157,1.0,6,40715,0,1915,2827772.75,44.89
Parking,DOWNTOWN,Mixed Use Property,Office,Retail Store,36036.0,82065,27594.0,13945.0,91.0,47.61113,-122.34556,1.0,4,47265,34800,1990,1717130.875,11.97
Office,DOWNTOWN,Small and Mid-Sized Office,None,None,36160.0,36160,0.0,0.0,47.0,47.61041,-122.34214,1.0,4,36160,0,1910,1862176.875,12.98
Other - Restaurant/Bar,DOWNTOWN,Mixed Use Property,Office,Manufacturing/Industrial Plant,6455.0,34617,5813.0,5581.0,,47.61014,-122.34251,1.0,1,34617,0,1918,5136604.5,143.34
Office,DOWNTOWN,Small and Mid-Sized Office,None,None,68048.0,66900,0.0,0.0,100.0,47.6123,-122.34611,1.0,5,66900,0,1909,1634178.25,14.13
Office,LAKE UNION,Small and Mid-Sized Office,Parking,None,36959.0,50499,13540.0,0.0,13.0,47.6367,-122.3285,1.0,3,36959,13540,2000,3205182.5,22.46
Office,LAKE UNION,Small and Mid-Sized Office,Parking,None,57972.0,54465,0.0,0.0,68.0,47.63616,-122.32718,1.0,5,44860,9605,1964,3600571.25,41.22
K-12 School,EAST,K-12 School,None,None,45960.0,45960,0.0,0.0,56.0,47.63239,-122.32072,1.0,2,45960,0,1930,4167253.75,182.81
Office,LAKE UNION,Small and Mid-Sized Office,None,None,21128.0,21128,0.0,0.0,97.0,47.61992,-122.34539,1.0,2,21128,0,1959,436604.0938,3.04
Office,LAKE UNION,Small and Mid-Sized Office,Data Center,None,54150.0,51552,650.0,0.0,,47.61952,-122.34462,1.0,3,51552,0,2013,1539066.375,10.73
Hotel,LAKE UNION,Hotel,None,None,38500.0,38520,0.0,0.0,37.0,47.62014,-122.34456,1.0,4,38520,0,1959,2804534.0,75.25
Hotel,LAKE UNION,Hotel,None,None,19000.0,29186,0.0,0.0,95.0,47.62174,-122.34417,1.0,3,24930,4256,1961,867184.375,30.22
Worship Facility,LAKE UNION,Worship Facility,None,None,27338.0,27338,0.0,0.0,56.0,47.6201,-122.34071,1.0,1,27338,0,1960,581289.0,4.05
Parking,EAST,Other,K-12 School,None,65000.0,85750,20000.0,0.0,,47.64132,-122.31644,1.0,2,20110,65640,1999,2045592.0,77.76
Laboratory,MAGNOLIA / QUEEN ANNE,Laboratory,Office,Parking,20649.0,34416,13767.0,2000.0,,47.6224,-122.36248,1.0,2,34416,0,1962,12015936.0,422.45
Office,MAGNOLIA / QUEEN ANNE,Small and Mid-Sized Office,None,None,45864.0,45864,0.0,0.0,94.0,47.61954,-122.35847,1.0,3,45864,0,1930,2590622.0,115.43
K-12 School,NORTHWEST,K-12 School,None,None,61099.0,49252,0.0,0.0,23.0,47.72726,-122.32835,1.0,2,49252,0,1999,3485865.5,104.91
K-12 School,NORTH,K-12 School,None,None,50337.0,34005,0.0,0.0,94.0,47.71343,-122.31466,1.0,1,34005,0,1950,991918.0,10.15
K-12 School,SOUTHWEST,K-12 School,None,None,60814.0,41221,0.0,0.0,83.0,47.56549,-122.39689,1.0,1,41221,0,1949,2246747.5,46.46
Office,LAKE UNION,Small and Mid-Sized Office,Parking,None,33176.0,33176,15000.0,0.0,89.0,47.63245,-122.32529,1.0,3,33176,0,1987,1426279.5,35.96
Retail Store,LAKE UNION,Retail Store,Medical Office,Office,10751.0,25194,8044.0,2635.0,,47.63246,-122.32658,1.0,3,21430,3764,1993,1878742.875,55.95
K-12 School,SOUTHEAST,K-12 School,None,None,75605.0,75605,0.0,0.0,83.0,47.52499,-122.27466,1.0,2,75605,0,2000,2274873.5,50.67
K-12 School,SOUTHEAST,K-12 School,None,None,29525.0,29525,0.0,0.0,77.0,47.52526,-122.27092,1.0,2,29525,0,2008,1297812.75,24.42
Worship Facility,GREATER DUWAMISH,Worship Facility,None,None,21948.0,21948,0.0,0.0,80.0,47.55072,-122.30265,1.0,99,21948,0,1977,326001.1875,2.27
Other - Recreation,EAST,Other,Self-Storage Facility,None,30095.0,31191,1096.0,0.0,,47.64033,-122.29135,1.0,3,31191,0,1927,5876439.0,167.98
K-12 School,NORTH,K-12 School,None,None,43188.0,42292,0.0,0.0,100.0,47.72369,-122.30676,1.0,1,42292,0,1954,0.0,0.0
"Repair Services (Vehicle, Shoe, Locksmith, etc)",NORTH,Other,Retail Store,Office,31303.0,37377,3468.0,840.0,,47.72039,-122.29729,1.0,1,37377,0,1947,3040978.0,111.73
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Office,Other,16768.0,29380,6837.0,5775.0,33.0,47.53906,-122.32031,1.0,1,29380,0,1977,856088.625,5.97
Worship Facility,EAST,Worship Facility,None,None,22688.0,22688,0.0,0.0,87.0,47.60321889,-122.3205567,1.0,2,22688,0,1922,331675.0,7.07
Adult Education,SOUTHEAST,Other,Parking,None,22364.0,22364,0.0,0.0,,47.56028,-122.28914,1.0,2,22364,0,1962,1467029.75,54.44
Office,GREATER DUWAMISH,Small and Mid-Sized Office,None,None,40738.0,41262,0.0,0.0,84.0,47.54693,-122.28718,1.0,2,41262,0,1982,1903455.875,13.27
Office,LAKE UNION,Small and Mid-Sized Office,Data Center,None,26580.0,43183,11497.0,0.0,,47.62038,-122.34668,1.0,2,43183,0,1953,7408342.0,92.45
Worship Facility,NORTH,Worship Facility,None,None,45680.0,45680,0.0,0.0,79.0,47.68566,-122.31849,1.0,3,45680,0,1908,2077039.375,86.81
Senior Care Community,LAKE UNION,Senior Care Community,None,None,726000.0,724148,0.0,0.0,8.0,47.61935,-122.33389,1.0,14,724148,0,2006,37797084.0,913.07
Worship Facility,SOUTHWEST,Worship Facility,Office,None,18278.0,23562,15212.0,0.0,96.0,47.53439,-122.37699,1.0,1,23562,0,1957,531737.1875,3.71
Office,BALLARD,Small and Mid-Sized Office,Other,None,10292.0,28844,10200.0,0.0,,47.65804,-122.36537,1.0,4,28844,0,1999,910718.6875,6.35
K-12 School,DELRIDGE,K-12 School,None,None,54285.0,54528,0.0,0.0,75.0,47.54176,-122.37349,1.0,2,54528,0,1988,1972078.625,13.75
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Office,None,18373.0,21101,2728.0,0.0,,47.56067,-122.32646,1.0,1,21101,0,1989,675772.875,27.97
Refrigerated Warehouse,GREATER DUWAMISH,Refrigerated Warehouse,None,None,45594.0,45594,0.0,0.0,75.0,47.56067,-122.32705,1.0,2,45594,0,1914,1351267.875,9.42
Manufacturing/Industrial Plant,GREATER DUWAMISH,Other,None,None,26660.0,26660,0.0,0.0,,47.55013,-122.33044,1.0,1,26660,0,1950,2241280.5,15.62
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Office,None,21780.0,28126,6346.0,0.0,44.0,47.56056,-122.32593,1.0,1,28126,0,1975,870625.8125,18.63
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,35000.0,35000,0.0,0.0,53.0,47.54813,-122.32553,1.0,1,35000,0,1964,378714.4063,2.64
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,26150.0,26150,0.0,0.0,6.0,47.54948,-122.32536,1.0,1,26150,0,1962,1208407.625,26.55
Office,GREATER DUWAMISH,Small and Mid-Sized Office,None,None,24000.0,24000,0.0,0.0,73.0,47.54974,-122.3261,1.0,2,24000,0,1967,1088556.25,7.59
K-12 School,EAST,K-12 School,None,None,40809.0,43594,0.0,0.0,38.0,47.64132,-122.31644,1.0,5,43594,0,1968,2478045.5,73.26
Distribution Center,LAKE UNION,Distribution Center,Office,None,25580.0,28080,2500.0,0.0,,47.65791,-122.34274,1.0,1,28080,0,1912,794724.625,18.54
Senior Care Community,NORTHWEST,Senior Care Community,None,None,51298.0,51298,0.0,0.0,85.0,47.72618,-122.35642,1.0,2,51298,0,1954,5655578.0,203.73
Worship Facility,NORTHWEST,Worship Facility,Parking,None,22898.0,22047,0.0,0.0,100.0,47.72558,-122.3578,1.0,1,22047,0,1962,265774.9063,1.85
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,31600.0,31600,0.0,0.0,3.0,47.5213,-122.32182,1.0,1,31600,0,1979,3363535.5,103.28
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,35289.0,35289,0.0,0.0,63.0,47.52024,-122.32137,1.0,1,35289,0,2007,876425.0,23.9
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,30000.0,28920,0.0,0.0,50.0,47.51899,-122.321,1.0,1,28920,0,1981,1750419.0,80.09
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,22176.0,22176,0.0,0.0,60.0,47.5193,-122.3213,1.0,1,22176,0,1978,736428.625,32.77
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,31300.0,31300,0.0,0.0,89.0,47.51968,-122.3212,1.0,1,31300,0,1978,362874.0,9.08
